x_0: 0.5519999999999996 -- V_prob: 0.8918553331792666
x_0: 0.5519999999999996 -- V_prob: 0.8918553331792666
x: [0.56881643 0.56612552]   , u:[-1. -1.] , d:[2.12964264 1.86055246]
x: [0.53117246 0.5892431 ]   , u:[-1. -1.] , d:[-3.33321344  2.74563175]
x: [0.56597892 0.62808858]   , u:[-1. -1.] , d:[3.94947359 4.29530497]
x: [0.6414221  0.61300891]   , u:[-1. -1.] , d:[ 7.97833953 -1.13605552]
x: [0.68538433 0.64603954]   , u:[-1. -1.] , d:[4.7548008  3.69005463]
x: [0.68945682 0.66591123]   , u:[-1. -1.] , d:[0.72186439 2.34112884]
x: [0.68806006 0.69374419]   , u:[-1. -1.] , d:[0.17086759 3.11738517]
x: [0.64682934 0.69137732]   , u:[-1. -1.] , d:[-3.81113222  0.06956891]
x: [0.68776703 0.73000846]   , u:[-1. -1.] , d:[4.44693963 4.17173627]
x: [0.67627315 0.68744488]   , u:[-1. -1.] , d:[-0.8371551  -3.98636673]
x: [0.62295304 0.74952169]   , u:[-1. -1.] , d:[-5.00828434  6.52023696]
x: [0.58562099 0.80534927]   , u:[-1. -1.] , d:[-3.3561575   5.83323587]
x: [0.60799203 0.83746228]   , u:[-1. -1.] , d:[2.65148238 3.40595145]
x: [0.658597   0.83017665]   , u:[-1. -1.] , d:[ 5.45250493 -0.56602544]
x: [0.66431324 0.80776074]   , u:[-1. -1.] , d:[ 0.91302732 -2.07176708]
x: [0.70666119 0.77211796]   , u:[-1. -1.] , d:[ 4.57048168 -3.37203893]
x: [0.741018   0.77389509]   , u:[-1. -1.] , d:[3.72902016 0.40559531]
x: [0.71764134 0.82766015]   , u:[-1. -1.] , d:[-2.07868428  5.60261072]
x: [0.75663292 0.80830002]   , u:[-1. -1.] , d:[ 4.18151688 -1.76367318]
x: [0.73003068 0.7668202 ]   , u:[-1. -1.] , d:[-2.41685662 -3.9562816 ]
x: [0.69540096 0.76710943]   , u:[-1. -1.] , d:[-3.19300349  0.26210188]
x: [0.73120531 0.78932066]   , u:[-1. -1.] , d:[3.88503411 2.45401409]
x: [0.66283991 0.80531789]   , u:[-1. -1.] , d:[-6.56774505  1.81040186]
x: [0.67322565 0.72096621]   , u:[-1. -1.] , d:[ 1.37573411 -8.24048553]
x: [0.70112886 0.68432407]   , u:[-1. -1.] , d:[ 3.11709528 -3.38518002]
x: [0.73372771 0.70632682]   , u:[-1. -1.] , d:[3.5587563  2.51595113]
x: [0.7663203  0.68480174]   , u:[-1. -1.] , d:[ 3.52553084 -1.85883474]
x: [0.79018076 0.68074573]   , u:[-1. -1.] , d:[ 2.61972641 -0.0904027 ]
x: [0.72576403 0.6570158 ]   , u:[-1. -1.] , d:[-6.23185434 -2.05373906]
x: [0.78658097 0.57935235]   , u:[-1. -1.] , d:[ 6.3559306  -7.42336128]
x: [0.80149704 0.6449823 ]   , u:[-1. -1.] , d:[1.70502599 6.98364306]
x: [0.77448646 0.6753036 ]   , u:[-1. -1.] , d:[-2.50255577  3.38714772]
x: [0.80572226 0.7209077 ]   , u:[-1. -1.] , d:[3.34909415 4.88510596]
x: [0.8175541  0.69935015]   , u:[-1. -1.] , d:[ 1.37746127 -1.87666209]
x: [0.75698117 0.65921154]   , u:[-1. -1.] , d:[-5.87484716 -3.7132118 ]
x: [0.83292776 0.60677784]   , u:[-1. -1.] , d:[ 7.83767859 -4.90258096]
x: [0.83407636 0.58634277]   , u:[-1. -1.] , d:[ 0.2819321  -1.65028456]
x: [0.79377201 0.58277621]   , u:[-1. -1.] , d:[-3.86451161  0.05700104]
x: [0.78933892 0.52749423]   , u:[-1. -1.] , d:[-0.2370809  -5.11097493]
x: [0.86035463 0.51490698]   , u:[-1. -1.] , d:[ 7.31223157 -0.78621884]
x: [0.84634773 0.45793123]   , u:[-1. -1.] , d:[-1.26104424 -5.21248204]
x: [0.8783924  0.41417859]   , u:[-1. -1.] , d:[ 3.3581193  -3.83319468]
x: [0.85006804 0.40823741]   , u:[-1. -1.] , d:[-2.71082818 -0.00829717]
x: [0.90709053 0.40027762]   , u:[-1. -1.] , d:[ 5.85218054 -0.20421625]
x: [0.9489017  0.39473774]   , u:[-1. -1.] , d:[4.2740269  0.04573434]
x: [0.93578887 0.35186409]   , u:[-1. -1.] , d:[-1.26018534 -3.68210258]
x: [0.95511978 0.35115573]   , u:[-1. -1.] , d:[1.99730206 0.57730015]
x: [0.96287019 0.29585327]   , u:[-1. -1.] , d:[ 0.81992122 -4.88140252]
x: [0.91531713 0.25767754]   , u:[-1. -1.] , d:[-4.71817533 -3.11342537]
x: [0.91347317 0.24463399]   , u:[-1. -1.] , d:[-0.0997133 -0.5620326]
x: [0.92970939 0.32656291]   , u:[-1. -1.] , d:[1.71014909 8.94825778]
x: [0.93009098 0.30131486]   , u:[-1. -1.] , d:[ 0.10844895 -1.85136819]
x: [0.98313848 0.24660134]   , u:[-1. -1.] , d:[ 5.37465906 -4.77266695]
x: [1.01481857 0.24727213]   , u:[-1. -1.] , d:[3.18487101 0.82047824]
x: [1.00170269 0.26709419]   , u:[-1. -1.] , d:[-1.32640681  2.73493334]
x: [1.02778923 0.23313844]   , u:[-1. -1.] , d:[ 2.60695112 -2.66266869]
x: [0.97593636 0.18289967]   , u:[-1. -1.] , d:[-5.21307588 -4.25701616]
x: [1.05952631 0.13912066]   , u:[-1. -1.] , d:[ 8.38305836 -3.56080007]
x: [1.14467663 0.14736347]   , u:[-1. -1.] , d:[8.45550534 1.68516044]
x: [1.18954828 0.20023287]   , u:[-1. -1.] , d:[4.34248888 6.13957599]
x: [1.2069825  0.14876789]   , u:[-1. -1.] , d:[ 1.55387315 -4.34673041]
x: [1.23675197 0.08824445]   , u:[-1. -1.] , d:[ 2.76996491 -5.20111238]
x: [1.22068739 0.08923777]   , u:[-1. -1.] , d:[-1.84320952  1.01108771]
x: [1.25688306 0.05244345]   , u:[-1. -1.] , d:[ 3.39887867 -2.76866938]
x: [1.25666362 0.04945441]   , u:[-1. -1.] , d:[-0.27882621  0.64865242]
x: [ 1.22128843 -0.0521372 ]   , u:[-1. -1.] , d:[-3.79418304 -9.20861557]
x: [1.2142949  0.00452845]   , u:[-1. -1.] , d:[-0.92064171  6.71870237]
x: [ 1.25600625 -0.0347216 ]   , u:[-1. -1.] , d:[ 3.95684023 -2.92953402]
x: [1.28425285 0.03097686]   , u:[-1. -1.] , d:[2.5686542  7.60456777]
x: [1.33054219 0.04571987]   , u:[-1. -1.] , d:[4.34468043 2.44332404]
x: [1.31087048 0.06833266]   , u:[-1. -1.] , d:[-2.29771282  3.21555902]
x: [1.32262776 0.04535103]   , u:[-1. -1.] , d:[ 0.86485758 -1.36649554]
x: [1.37218635 0.01558683]   , u:[-1. -1.] , d:[ 4.63323102 -2.021771  ]
x: [1.36922254 0.02554764]   , u:[-1. -1.] , d:[-0.66856741  1.98049399]
x: [1.374635   0.09515347]   , u:[-1. -1.] , d:[0.17202411 7.93503599]
x: [1.31786725 0.12194991]   , u:[-1. -1.] , d:[-6.05141059  3.58448988]
x: [1.36329867 0.12555307]   , u:[-1. -1.] , d:[4.22527456 1.23836667]
x: [1.3459788  0.06039836]   , u:[-1. -1.] , d:[-2.09528551 -5.64102369]
x: [1.37507312 0.06077325]   , u:[-1. -1.] , d:[2.56345371 0.97708994]
x: [1.23383407 0.03877026]   , u:[-1. -1.] , d:[-14.49897827  -1.26107211]
x: [1.30200983 0.01969246]   , u:[-1. -1.] , d:[ 6.58374182 -0.94654979]
x: [1.21443317 0.0139725 ]   , u:[-1. -1.] , d:[-9.05967617  0.40831067]
x: [1.15727433 0.05419037]   , u:[-1. -1.] , d:[-5.93031685  5.00781535]
x: [1.16078493 0.0286836 ]   , u:[-1. -1.] , d:[ 0.19378543 -1.60486815]
x: [1.14821364 0.03084887]   , u:[-1. -1.] , d:[-1.41791344  1.18784426]
x: [1.22264848 0.04406926]   , u:[-1. -1.] , d:[7.29527063 2.29118943]
x: [ 1.17673898e+00 -9.93440397e-04]   , u:[-1. -1.] , d:[-4.81359929 -3.55033905]
x: [ 1.15628048 -0.03385925]   , u:[-1. -1.] , d:[-2.22258841 -2.28558713]
x: [ 1.15204936 -0.06046247]   , u:[-1. -1.] , d:[-0.5793924  -1.62646329]
x: [ 1.17116905 -0.09657107]   , u:[-1. -1.] , d:[ 1.75991925 -2.55039759]
x: [ 1.19440036 -0.08565394]   , u:[-1. -1.] , d:[2.15196198 2.18828457]
x: [ 1.13988818 -0.1401073 ]   , u:[-1. -1.] , d:[-5.64561861 -4.35968257]
x: [ 1.11217436 -0.09597497]   , u:[-1. -1.] , d:[-2.91127006  5.55334023]
x: [ 1.15061726 -0.09582696]   , u:[-1. -1.] , d:[3.73211592 1.11077592]
x: [ 1.15243647 -0.0711252 ]   , u:[-1. -1.] , d:[0.03130324 3.56600358]
x: [ 1.21849993 -0.04813444]   , u:[-1. -1.] , d:[6.45390966 3.37020125]
x: [1.16105689 0.0131768 ]   , u:[-1. -1.] , d:[-5.96280316  7.17925805]
x: [1.11788183 0.05792785]   , u:[-1. -1.] , d:[-4.47856361  5.46192794]
x: [1.11205313 0.10655621]   , u:[-1. -1.] , d:[-0.70075136  5.80490869]
x: [1.09208683 0.03708   ]   , u:[-1. -1.] , d:[-2.10868315 -6.05417702]
x: [ 1.08158123 -0.02758881]   , u:[-1. -1.] , d:[-1.14264666 -5.50396124]
x: [ 1.10250598 -0.0499393 ]   , u:[-1. -1.] , d:[ 2.01089331 -1.20746055]
x: [ 1.15188807 -0.13157656]   , u:[-1. -1.] , d:[ 4.83570338 -7.11378604]
x: [ 1.0964516  -0.11273819]   , u:[-1. -1.] , d:[-5.69553497  3.0154133 ]
x: [ 1.06234348 -0.06261637]   , u:[-1. -1.] , d:[-3.50726362  6.12491998]
x: [ 1.07460776 -0.01906989]   , u:[-1. -1.] , d:[1.16408425 5.4172645 ]
x: [ 1.09326973 -0.03125489]   , u:[-1. -1.] , d:[ 1.79158899 -0.19942991]
x: [ 1.02719352 -0.08237678]   , u:[-1. -1.] , d:[-6.70089082 -4.08093403]
x: [ 1.01143104 -0.16501374]   , u:[-1. -1.] , d:[-1.60344104 -7.18132011]
x: [ 1.06033405 -0.14517879]   , u:[-1. -1.] , d:[4.8788696  3.14850953]
x: [ 1.08101656 -0.07827248]   , u:[-1. -1.] , d:[2.00791739 7.83580965]
x: [ 1.13980877 -0.0190977 ]   , u:[-1. -1.] , d:[5.79820391 6.99575059]
x: [ 1.165437   -0.00966553]   , u:[-1. -1.] , d:[2.4230146  1.96231469]
x: [ 1.1427174  -0.05439569]   , u:[-1. -1.] , d:[-2.43739694 -3.46335069]
x: [ 1.12399705 -0.06264038]   , u:[-1. -1.] , d:[-2.01475278  0.22992694]
x: [ 1.16663704 -0.09982023]   , u:[-1. -1.] , d:[ 4.14000225 -2.65534538]
x: [ 1.17085037 -0.12538175]   , u:[-1. -1.] , d:[ 0.25469552 -1.45633091]
x: [ 1.16777424 -0.1810549 ]   , u:[-1. -1.] , d:[-0.47846343 -4.44193408]
x: [ 1.1918832  -0.15453917]   , u:[-1. -1.] , d:[2.24312204 3.83262804]
x: [ 1.2053797  -0.10891487]   , u:[-1. -1.] , d:[1.15776724 5.71696993]
x: [ 1.20713247 -0.18414063]   , u:[-1. -1.] , d:[-0.03010271 -6.41366195]
x: [ 1.16102513 -0.17794903]   , u:[-1. -1.] , d:[-4.81786681  1.80330083]
x: [ 1.13044416 -0.20021017]   , u:[-1. -1.] , d:[-3.21912241 -1.04816508]
x: [ 1.13045815 -0.19948097]   , u:[-1. -1.] , d:[-0.12904483  1.2731301 ]
x: [ 1.09693951 -0.22156006]   , u:[-1. -1.] , d:[-3.48232167 -1.00842802]
x: [ 1.13740244 -0.20815909]   , u:[-1. -1.] , d:[3.94935338 2.56165703]
x: [ 1.11144145 -0.23928878]   , u:[-1. -1.] , d:[-2.73350196 -1.90480989]
x: [ 1.15976232 -0.20400062]   , u:[-1. -1.] , d:[4.72064609 4.76810519]
