x_0: 0.5519999999999996 -- V_prob: 0.8918553331792666
x_0: 0.5519999999999996 -- V_prob: 0.8918553331792666
x_0: 0.5519999999999996 -- V_prob: 0.8918553331792666
x_0: 0.5519999999999996 -- V_prob: 0.8918553331792666
x_0: 0.5519999999999996 -- V_prob: 0.8918553331792666
x: [0.56881643]   , u:[-1.] , d:2.129642644838508
x: [0.53117246]   , u:[-1.] , d:-3.333213435406993
x: [0.56597892]   , u:[-1.] , d:3.949473585689135
x: [0.6414221]   , u:[-1.] , d:7.978339528020833
x: [0.68538433]   , u:[-1.] , d:4.754800795738484
x: [0.68945682]   , u:[-1.] , d:0.7218643945652833
x: [0.68806006]   , u:[-1.] , d:0.1708675870043073
x: [0.64682934]   , u:[-1.] , d:-3.8111322151364924
x: [0.68776703]   , u:[-1.] , d:4.446939627719192
x: [0.67627315]   , u:[-1.] , d:-0.837155098034526
x: [0.62295304]   , u:[-1.] , d:-5.008284344384068
x: [0.58562099]   , u:[-1.] , d:-3.3561575046344405
x: [0.60799203]   , u:[-1.] , d:2.6514823802136176
x: [0.658597]   , u:[-1.] , d:5.452504930539551
x: [0.66431324]   , u:[-1.] , d:0.9130273228761098
x: [0.70666119]   , u:[-1.] , d:4.570481684918917
x: [0.741018]   , u:[-1.] , d:3.729020164188875
x: [0.71764134]   , u:[-1.] , d:-2.078684275646585
x: [0.75663292]   , u:[-1.] , d:4.181516875089963
x: [0.73003068]   , u:[-1.] , d:-2.4168566192106553
x: [0.69540096]   , u:[-1.] , d:-3.193003492191058
x: [0.73120531]   , u:[-1.] , d:3.885034109035438
x: [0.66283991]   , u:[-1.] , d:-6.567745050183503
x: [0.67322565]   , u:[-1.] , d:1.3757341081651642
x: [0.70112886]   , u:[-1.] , d:3.117095276322207
x: [0.73372771]   , u:[-1.] , d:3.5587562978992215
x: [0.7663203]   , u:[-1.] , d:3.525530837874734
x: [0.79018076]   , u:[-1.] , d:2.6197264125372164
x: [0.72576403]   , u:[-1.] , d:-6.2318543438306415
x: [0.78658097]   , u:[-1.] , d:6.35593060380356
x: [0.80149704]   , u:[-1.] , d:1.7050259916972188
x: [0.77448646]   , u:[-1.] , d:-2.5025557657986988
x: [0.80572226]   , u:[-1.] , d:3.3490941492314805
x: [0.8175541]   , u:[-1.] , d:1.3774612730174514
x: [0.75698117]   , u:[-1.] , d:-5.874847162899094
x: [0.83292776]   , u:[-1.] , d:7.8376785883895
x: [0.83407636]   , u:[-1.] , d:0.28193210466997015
x: [0.79377201]   , u:[-1.] , d:-3.8645116055236484
x: [0.78933892]   , u:[-1.] , d:-0.23708090313845967
x: [0.86035463]   , u:[-1.] , d:7.312231566915342
x: [0.84634773]   , u:[-1.] , d:-1.261044235745113
x: [0.8783924]   , u:[-1.] , d:3.358119295886332
x: [0.85006804]   , u:[-1.] , d:-2.7108281827908165
x: [0.90709053]   , u:[-1.] , d:5.852180540887514
x: [0.9489017]   , u:[-1.] , d:4.274026899336343
x: [0.93578887]   , u:[-1.] , d:-1.2601853353771457
x: [0.95511978]   , u:[-1.] , d:1.997302055060869
x: [0.96287019]   , u:[-1.] , d:0.8199212201687868
x: [0.91531713]   , u:[-1.] , d:-4.718175327966279
x: [0.91347317]   , u:[-1.] , d:-0.09971330431235735
x: [0.92970939]   , u:[-1.] , d:1.710149086553821
x: [0.93009098]   , u:[-1.] , d:0.1084489462579027
x: [0.98313848]   , u:[-1.] , d:5.374659059344149
x: [1.01481857]   , u:[-1.] , d:3.1848710064142787
x: [1.00170269]   , u:[-1.] , d:-1.3264068079919176
x: [1.02778923]   , u:[-1.] , d:2.606951120602969
x: [0.97593636]   , u:[-1.] , d:-5.2130758799104315
x: [1.05952631]   , u:[-1.] , d:8.383058360343524
x: [1.14467663]   , u:[-1.] , d:8.455505342875744
x: [1.18954828]   , u:[-1.] , d:4.3424888770209495
x: [1.2069825]   , u:[-1.] , d:1.5538731538896469
x: [1.23675197]   , u:[-1.] , d:2.7699649113318716
x: [1.22068739]   , u:[-1.] , d:-1.8432095176161523
x: [1.25688306]   , u:[-1.] , d:3.398878669518982
x: [1.25666362]   , u:[-1.] , d:-0.27882620519234275
x: [1.22128843]   , u:[-1.] , d:-3.7941830370608436
x: [1.2142949]   , u:[-1.] , d:-0.9206417119808277
x: [1.25600625]   , u:[-1.] , d:3.9568402304852652
x: [1.28425285]   , u:[-1.] , d:2.568654201084432
x: [1.33054219]   , u:[-1.] , d:4.344680428386817
x: [1.31087048]   , u:[-1.] , d:-2.2977128249769105
x: [1.32262776]   , u:[-1.] , d:0.8648575795297382
x: [1.37218635]   , u:[-1.] , d:4.633231015899704
x: [1.36922254]   , u:[-1.] , d:-0.6685674066888054
x: [1.374635]   , u:[-1.] , d:0.17202410920203154
x: [1.31786725]   , u:[-1.] , d:-6.05141058756785
x: [1.36329867]   , u:[-1.] , d:4.2252745640153675
x: [1.3459788]   , u:[-1.] , d:-2.095285511995345
x: [1.37507312]   , u:[-1.] , d:2.563453708624448
x: [1.23383407]   , u:[-1.] , d:-14.498978270141501
x: [1.30200983]   , u:[-1.] , d:6.583741815365973
x: [1.21443317]   , u:[-1.] , d:-9.059676166916509
x: [1.15727433]   , u:[-1.] , d:-5.930316847036646
x: [1.16078493]   , u:[-1.] , d:0.19378542579826372
x: [1.14821364]   , u:[-1.] , d:-1.4179134387696881
x: [1.22264848]   , u:[-1.] , d:7.295270626194223
x: [1.17673898]   , u:[-1.] , d:-4.813599290531845
x: [1.15628048]   , u:[-1.] , d:-2.222588408656285
x: [1.15204936]   , u:[-1.] , d:-0.5793924014341181
x: [1.17116905]   , u:[-1.] , d:1.7599192471275555
x: [1.19440036]   , u:[-1.] , d:2.15196197541236
x: [1.13988818]   , u:[-1.] , d:-5.6456186093497625
x: [1.11217436]   , u:[-1.] , d:-2.911270057514366
x: [1.15061726]   , u:[-1.] , d:3.7321159246381987
x: [1.15243647]   , u:[-1.] , d:0.031303239228208324
x: [1.21849993]   , u:[-1.] , d:6.453909658373142
x: [1.16105689]   , u:[-1.] , d:-5.96280315890187
x: [1.11788183]   , u:[-1.] , d:-4.478563612818703
x: [1.11205313]   , u:[-1.] , d:-0.7007513564223475
x: [1.09208683]   , u:[-1.] , d:-2.108683151025586
x: [1.08158123]   , u:[-1.] , d:-1.14264666365823
